Designator,Mid X,Mid Y,Layer,Rotation
C1,-8.00,58.00,Top,225.0
C2, 7.50,53.50,Top,270.0
C3,-1.00,62.00,Top,0.0
C4,-1.00,45.00,Top,0.0
C5,-9.50,53.50,Top,270.0
C6,-23.00,56.50,Top,270.0
C7,-33.00,39.00,Top,90.0
C8,-29.00,38.00,Top,0.0
C9,-21.00,38.00,Top,90.0
C11,-25.00,39.00,Top,90.0
C13,-21.00,46.00,Top,90.0
C14,-14.00,56.50,Top,90.0
C16, 4.00,60.00,Top,135.0
C17,-37.00,38.00,Top,0.0
D1,-37.00,36.00,Top,180.0
D2,-29.00,36.00,Top,180.0
LED1,-43.00,47.50,Top,270.0
LED2,-43.00,44.50,Top,270.0
LED3,-43.00,41.50,Top,270.0
LED4,-43.00,38.50,Top,270.0
LED5,-43.00,35.50,Top,270.0
LED6,-43.00,32.50,Top,270.0
LED7,-43.00,29.50,Top,270.0
LED8,43.00,47.50,Top,270.0
LED9,43.00,44.50,Top,270.0
LED10,43.00,41.50,Top,270.0
LED11,43.00,38.50,Top,270.0
LED12,43.00,35.50,Top,270.0
LED13,43.00,32.50,Top,270.0
LED14,43.00,29.50,Top,270.0
LED15,-27.00,68.00,Top,135.0
LED17,-30.00,65.00,Top,135.0
LED18,-28.00,67.00,Top,315.0
LS1,-33.00,56.50,Top,45.0
Q1,-4.00,42.00,Top,270.0
R1,-15.50,59.00,Top,0.0
R2,-21.50,59.00,Top,180.0
R3,-25.50,64.50,Top,180.0
R4,-5.00,60.00,Top,225.0
R10,-25.50,63.00,Top,180.0
R12,31.00,37.50,Top,0.0
R13,31.00,39.00,Top,0.0
R14,-7.00,41.75,Top,270.0
R15,-16.00,41.75,Top,90.0
R16,-16.00,44.25,Top,90.0
R17,-7.00,44.25,Top,90.0
R30, 6.00,58.00,Top,135.0
R31, 5.00,49.00,Top,225.0
R32,-25.50,61.50,Top,180.0
REG1,-37.00,43.00,Top,0.0
REG2,-29.00,43.00,Top,0.0
T1,-28.00,51.00,Top,270.0
U1,-18.50,56.50,Top,0.0
U2,-1.00,53.50,Top,225.0
U5,-11.50,43.00,Top,180.0
X2,-18.50,66.00,Top,180.0
